ID,CCE_P1706_100.mzxml,CCE_P1706_102.mzxml,CCE_P1706_104.mzxml,CCE_P1706_106.mzxml,CCE_P1706_108.mzxml,CCE_P1706_110.mzxml,CCE_P1706_112.mzxml,CCE_P1706_114.mzxml,CCE_P1706_116.mzxml,CCE_P1706_118.mzxml,CCE_P1706_120.mzxml,CCE_P1706_122.mzxml,CCE_P1706_154.mzxml,CCE_P1706_156.mzxml,CCE_P1706_158.mzxml,CCE_P1706_160.mzxml,CCE_P1706_162.mzxml,CCE_P1706_164.mzxml,CCE_P1706_166.mzxml,CCE_P1706_168.mzxml,CCE_P1706_170.mzxml,CCE_P1706_172.mzxml,CCE_P1706_174.mzxml,CCE_P1706_176.mzxml,CCE_P1706_178.mzxml,CCE_P1706_180.mzxml,CCE_P1706_182.mzxml,CCE_P1706_184.mzxml,CCE_P1706_186.mzxml,CCE_P1706_188.mzxml,CCE_P1706_208.mzxml,CCE_P1706_210.mzxml,CCE_P1706_212.mzxml,CCE_P1706_214.mzxml,CCE_P1706_216.mzxml,CCE_P1706_218.mzxml,CCE_P1706_220.mzxml,CCE_P1706_222.mzxml,CCE_P1706_224.mzxml,CCE_P1706_228.mzxml,CCE_P1706_230.mzxml,CCE_P1706_40.mzxml,CCE_P1706_42.mzxml,CCE_P1706_44.mzxml,CCE_P1706_46.mzxml,CCE_P1706_48.mzxml,CCE_P1706_50.mzxml,CCE_P1706_52.mzxml,CCE_P1706_54.mzxml,CCE_P1706_56.mzxml,CCE_P1706_58.mzxml,CCE_P1706_60.mzxml,CCE_P1706_62.mzxml,CCE_P1706_64.mzxml,CCE_P1706_66.mzxml,CCE_P1706_68.mzxml,CCE_P1706_70.mzxml,CCE_P1706_72.mzxml,CCE_P1706_74.mzxml,CCE_P1706_76.mzxml,CCE_P1706_78.mzxml,CCE_P1706_80.mzxml,CCE_P1706_82.mzxml,CCE_P1706_84.mzxml,CCE_P1706_86.mzxml,CCE_P1706_88.mzxml,CCE_P1706_90.mzxml,CCE_P1706_92.mzxml,CCE_P1706_94.mzxml,CCE_P1706_96.mzxml,CCE_P1706_98.mzxml,Class16S,Confidence,Domain16S,Family16S,Genus16S,Order16S,Phylum16S,Species16S
a404bf4d32831f2133794e5fe5d0a73e,1252,5710,5031,5355,2337,2972,4308,5495,6111,2141,2009,1425,705,937,598,352,1044,499,947,966,605,450,343,181,1173,120,605,112,148,114,2380,4046,8374,5667,3148,1565,6109,5296,9108,709,1667,4707,4351,3011,2242,548,378,2554,4370,1621,865,339,291,4465,2346,2315,604,679,758,4054,6274,11158,2440,1787,2374,1788,4639,5525,3863,1597,1461,Gammaproteobacteria,0.9266011,Bacteria,Thioglobaceae,SUP05 cluster,Thiomicrospirales,Proteobacteria,NA
625cabfbd66e4f32de52ec86cb441744,18,1386,2610,3151,19,25,1419,5466,8800,11,27,11,109,1037,23,0,0,0,193,400,33,7,4,9,266,0,686,0,0,0,719,2378,1026,0,0,0,2383,3296,7971,0,0,1608,4364,1226,454,12,5,813,4721,319,66,2,5,2782,90,43,0,9,9,1391,2568,5207,113,28,16,135,1747,2349,990,25,12,Nitrososphaeria,0.775216,Archaea,Nitrosopumilaceae,Candidatus Nitrosopumilus,Nitrosopumilales,Thaumarchaeota,uncultured euryarchaeote
57b3beebda7862a64be26dc80e2863c2,2387,31,217,690,2355,2955,69,314,537,1348,1768,1455,9,54,1289,1277,3295,1987,8,26,750,345,791,927,0,708,468,809,326,434,57,384,1621,2877,4516,3496,138,273,769,2507,3368,74,405,711,925,880,841,29,310,609,547,715,500,406,875,985,887,1024,1210,96,210,1153,1653,2651,2060,5,82,392,570,1969,2554,Gammaproteobacteria,0.9999999,Bacteria,NA,NA,SAR86 clade,Proteobacteria,NA
6b9dd64d080d53d989a8407d9806429e,2507,78,261,654,3071,4206,112,401,552,2343,3452,1756,9,38,945,372,601,366,0,0,786,268,164,101,0,40,52,45,39,33,55,173,612,2530,3361,2725,288,188,400,3663,2834,162,403,734,1124,1059,576,51,389,639,564,717,408,358,749,816,795,639,1023,163,255,1658,2523,3077,3393,18,149,432,754,2745,2561,Alphaproteobacteria,0.9870269,Bacteria,Rhodobacteraceae,Amylibacter,Rhodobacterales,Proteobacteria,NA
588253f8c914de60cbb9577946854a39,207,94,298,843,327,371,57,338,680,202,398,204,97,169,724,1479,1143,1036,17,69,1312,1615,1544,2502,26,1362,1329,1034,2070,1046,95,428,553,870,1075,1152,158,223,443,1601,1430,113,344,833,941,480,245,35,201,328,228,247,222,369,313,259,318,271,449,109,221,1366,394,312,344,0,92,398,491,272,207,Alphaproteobacteria,0.9926357,Bacteria,Clade I,Clade Ia,SAR11 clade,Proteobacteria,NA
0abb6666e8f0d09f0ce54c11ed157a2f,528,727,941,1024,547,654,648,956,1023,416,512,388,0,188,160,175,205,118,0,37,121,37,20,16,0,9,89,9,6,6,244,652,1678,616,355,148,527,415,769,45,59,639,977,1345,1239,440,221,425,865,830,635,155,92,1061,1184,1113,246,171,217,918,1050,1501,699,762,757,0,782,1330,1047,550,611,Gammaproteobacteria,0.9999984,Bacteria,NA,NA,OM182 clade,Proteobacteria,NA
2983438e2b03eb1c22c5b4d99292e6cb,402,8,148,447,438,561,26,297,587,459,565,334,0,84,488,487,864,622,0,46,806,598,887,1083,6,822,720,1086,614,718,38,291,857,1122,1552,1789,211,367,585,4154,4161,60,265,341,460,204,133,18,175,316,238,117,71,219,363,289,133,165,169,39,91,622,404,420,401,0,46,133,339,397,448,Alphaproteobacteria,1,Bacteria,SAR116 clade,NA,Puniceispirillales,Proteobacteria,NA
ed8321e5a34ce5d06dac4c8a70eda047,0,2433,1784,463,0,0,1640,1710,752,4,0,0,319,748,0,0,0,0,695,903,0,0,0,0,1332,0,8,0,0,0,1687,1549,192,8,0,0,2550,1881,799,4,0,1836,1110,153,60,0,0,1855,1071,50,0,0,0,1246,15,5,0,0,0,1123,2076,830,24,5,7,714,1077,1222,377,0,0,Acidimicrobiia,0.9792413,Bacteria,Microtrichaceae,Sva0996 marine group,Microtrichales,Actinobacteria,NA
76dfe03cf1770d4ae5c703515096f2e9,0,3036,1561,269,0,0,2502,1114,307,0,0,0,795,528,0,0,0,0,874,463,0,0,0,0,975,0,0,0,0,0,964,889,89,0,0,0,1568,1109,326,0,0,1430,893,179,43,0,0,1268,783,34,0,0,0,793,0,0,0,0,0,1283,2039,498,0,0,0,2626,1746,1507,194,0,0,Gammaproteobacteria,0.9738594,Bacteria,Thioglobaceae,SUP05 cluster,Thiomicrospirales,Proteobacteria,NA
86cd70d2450e3f44f4a7c543f53008ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,88,150,90,0,25,82,196,3031,2819,44,5754,1274,5068,5829,5679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxyphotobacteria,0.9943645,Bacteria,Cyanobiaceae,Prochlorococcus MIT9313,Synechococcales,Cyanobacteria,NA
