id,CCE_P1706_100.mzxml,CCE_P1706_102.mzxml,CCE_P1706_104.mzxml,CCE_P1706_106.mzxml,CCE_P1706_108.mzxml,CCE_P1706_110.mzxml,CCE_P1706_112.mzxml,CCE_P1706_114.mzxml,CCE_P1706_116.mzxml,CCE_P1706_118.mzxml,CCE_P1706_120.mzxml,CCE_P1706_122.mzxml,CCE_P1706_154.mzxml,CCE_P1706_156.mzxml,CCE_P1706_158.mzxml,CCE_P1706_160.mzxml,CCE_P1706_162.mzxml,CCE_P1706_164.mzxml,CCE_P1706_166.mzxml,CCE_P1706_168.mzxml,CCE_P1706_170.mzxml,CCE_P1706_172.mzxml,CCE_P1706_174.mzxml,CCE_P1706_176.mzxml,CCE_P1706_178.mzxml,CCE_P1706_180.mzxml,CCE_P1706_182.mzxml,CCE_P1706_184.mzxml,CCE_P1706_186.mzxml,CCE_P1706_188.mzxml,CCE_P1706_208.mzxml,CCE_P1706_210.mzxml,CCE_P1706_212.mzxml,CCE_P1706_214.mzxml,CCE_P1706_216.mzxml,CCE_P1706_218.mzxml,CCE_P1706_220.mzxml,CCE_P1706_222.mzxml,CCE_P1706_224.mzxml,CCE_P1706_228.mzxml,CCE_P1706_230.mzxml,CCE_P1706_40.mzxml,CCE_P1706_42.mzxml,CCE_P1706_44.mzxml,CCE_P1706_46.mzxml,CCE_P1706_48.mzxml,CCE_P1706_50.mzxml,CCE_P1706_52.mzxml,CCE_P1706_54.mzxml,CCE_P1706_56.mzxml,CCE_P1706_58.mzxml,CCE_P1706_60.mzxml,CCE_P1706_62.mzxml,CCE_P1706_64.mzxml,CCE_P1706_66.mzxml,CCE_P1706_68.mzxml,CCE_P1706_70.mzxml,CCE_P1706_72.mzxml,CCE_P1706_74.mzxml,CCE_P1706_76.mzxml,CCE_P1706_78.mzxml,CCE_P1706_80.mzxml,CCE_P1706_82.mzxml,CCE_P1706_84.mzxml,CCE_P1706_86.mzxml,CCE_P1706_88.mzxml,CCE_P1706_90.mzxml,CCE_P1706_92.mzxml,CCE_P1706_94.mzxml,CCE_P1706_96.mzxml,CCE_P1706_98.mzxml,Class18SV9,Confidence,Domain18SV9,Family18SV9,Genus18SV9,Kingdom18SV9,Order18SV9,Phylum18SV9,Species18SV9,X
d1b754a61547771e95bc457845b76031,50,69,57,161,247,174,31,30,25,528,543,242,54,60,152,162,428,227,0,0,769,102,105,31,0,12,27,40,51,22,27,45,277,201,425,80,10,89,90,0,23,114,69,381,1169,15012,13715,142,124,365,1441,12758,25213,123,225,947,15006,19433,17757,11,45,0,43,41,47,0,24,229,100,56,32,Bacillariophyta,0.9895452,Eukaryota,Raphid-pennate,Pseudo-nitzschia,Stramenopiles,Bacillariophyta_X,Ochrophyta,Pseudo-nitzschia_australis,3
1e2166cbb9194f76fecce38bfad61555,708,6,0,0,1603,1613,5,0,0,1577,1876,758,9,8,425,1836,707,1130,0,0,2275,2658,2976,2786,0,206,162,176,531,514,0,0,125,7273,5798,2691,6,4,1287,1308,841,0,0,43,42,3234,2373,0,0,4144,5892,1389,871,3,6009,12474,3141,885,880,5,0,0,20981,8389,4532,0,0,0,1832,2917,1639,Arthropoda,0.9977327,Eukaryota,Maxillopoda,Paracalanus,Opisthokonta,Crustacea,Metazoa,Paracalanus_parvus,6
6fdbb8c63fe109f1beeb14f76c30e678,5567,35,223,167,1766,2335,101,400,220,2664,3300,2164,2111,886,7333,13251,13088,10240,143,387,10532,7003,974,917,474,413,1083,874,537,400,415,400,2393,1101,625,25,271,438,785,20,35,19,69,214,920,2517,1223,126,75,240,567,2631,2093,51,292,510,1117,1595,2130,0,25,309,1118,2235,1115,0,103,203,252,2605,4166,Bacillariophyta,0.9871728,Eukaryota,Polar-centric-Mediophyceae,Chaetoceros,Stramenopiles,Bacillariophyta_X,Ochrophyta,Chaetoceros_rostratus,2
1a2206bc89d2ea0b2eebd0b6cf6f0659,2810,13,0,282,1744,4656,0,0,4,6463,7089,2402,35,0,402,91,786,1189,0,0,5157,1530,591,381,0,110,0,0,72,359,0,0,49,7553,43,19676,0,0,7,3309,3289,6,0,0,0,1010,1765,0,0,80,2026,2158,765,0,1530,3487,2081,1824,1072,5,4,0,3378,2207,2153,4,0,0,5,1941,2597,Urochordata,0.9400966,Eukaryota,Appendicularia,Oikopleura,Opisthokonta,Urochordata_X,Metazoa,Oikopleura_sp.,5
0fc3ecf59213e6ccda298d53f58d7c87,5427,472,637,2186,17359,13176,267,563,1084,9160,4343,10773,116,313,293,252,831,410,9,15,693,177,48,16,0,0,67,10,9,2,18,11,11,0,0,0,43,14,8,0,0,17,2,13,9,0,0,0,25,20,10,0,0,34,58,131,58,46,19,302,702,501,2155,2966,6003,70,87,110,1251,6459,5918,NA,0.9002683,Eukaryota,NA,NA,Opisthokonta,NA,NA,NA,11
75c43b14526ffb09b7f44ea2dc2a5a38,517,459,0,3963,1791,1689,0,0,879,1813,2876,2408,0,0,492,1151,586,312,766,0,1866,3400,1353,562,1319,549,411,77,967,848,447,331,922,1240,3072,982,82,535,7612,0,225,54,1139,465,1493,4005,357,6,45,1677,4829,302,313,261,4358,2742,1436,874,841,56,636,4323,2613,3083,1199,0,183,57,4396,1758,1091,Arthropoda,0.999326,Eukaryota,Maxillopoda,NA,Opisthokonta,Crustacea,Metazoa,NA,7
e861d092459fe237a807538a8dedb695,131,35,50,166,121,105,60,132,262,91,211,159,180,849,367,754,2494,1412,132,1094,856,2608,4377,8123,88,10872,7584,13230,10389,8101,98,99,205,252,791,854,112,193,409,1563,1664,15,19,27,35,9,0,10,0,14,11,7,3,35,9,9,5,7,3,13,54,293,118,77,80,6,30,70,141,86,123,Pelagophyceae,0.9999986,Eukaryota,Pelagomonadaceae,Pelagomonas,Stramenopiles,Pelagomonadales,Ochrophyta,Pelagomonas_calceolata,8
ddabd94ae4f697d543d0d86c72539d44,1029,0,9,10486,170,668,0,0,974,457,901,139,0,228,53,107,89,96,0,404,488,37,182,0,0,122,476,0,312,0,198,0,11258,1101,4740,0,185,1544,2334,0,0,0,202,4904,9330,166,33,0,62,8751,783,163,160,31,4033,1478,291,194,179,197,0,0,311,668,343,0,214,0,7871,519,1095,Arthropoda,0.8978281,Eukaryota,Maxillopoda,Pseudocalanus,Opisthokonta,Crustacea,Metazoa,Pseudocalanus_elongatus,4
16e3d4f1cb72c753aa6420206110abec,1249,72,526,230,525,687,44,96,16,1696,1407,1078,211,210,961,2486,1818,1250,173,0,1548,802,83,192,0,86,629,744,265,96,1016,748,1224,2744,1023,132,286,644,1835,6,13,114,161,399,2776,5732,3550,80,128,942,1007,7182,4144,206,178,705,3137,4860,4698,55,72,468,290,670,291,34,435,1455,51,679,894,Bacillariophyta,0.995444,Eukaryota,Polar-centric-Mediophyceae,Chaetoceros,Stramenopiles,Bacillariophyta_X,Ochrophyta,Chaetoceros_rostratus,1
db9c8e79830614a689c43408afc4e403,276,11,0,0,2637,1753,11,8,0,4270,3826,2542,17,0,354,756,398,264,9,0,732,4062,1434,4281,0,543,169,359,1442,443,0,527,37,1905,872,248,9,0,870,2029,1412,5,531,681,451,907,3531,370,0,303,4020,790,308,20,1600,273,1410,1098,1287,0,0,0,0,452,1502,0,7,9,182,1855,2116,Arthropoda,0.8769498,Eukaryota,Maxillopoda,Neocalanus,Opisthokonta,Crustacea,Metazoa,Neocalanus_cristatus,10
