"row","col","corr"
"A714019","X4969",-0.24419036226938
"Aliiglaciecola","X4969",-0.152493624837554
"Alteromonas","X4969",-0.241422469346668
"Alteromonas macleodii","X4969",-0.208170275213039
"Amphritea","X4969",-0.103941007916559
"Amylibacter","X4969",-0.0382576585078122
"Ascidiaceihabitans","X4969",-0.361525329275294
"AT-s3-44","X4969",-0.220638434783135
"Aureispira","X4969",-0.272407093769746
"BD1-7 clade","X4969",-0.282050611485787
"Blastopirellula","X4969",-0.265450999327523
"Candidatus Actinomarina","X4969",-0.0604357789321104
"Candidatus Endoecteinascidia","X4969",-0.225731525225594
"Candidatus Nitrosopelagicus","X4969",-0.260214271343763
"Candidatus Nitrosopumilus","X4969",-0.249055768040585
"Candidatus Puniceispirillum","X4969",-0.0732411789456826
"Catenovulum","X4969",-0.195026518445722
"CL500-3","X4969",-0.281074535873588
"Clade Ia","X4969",-0.13073923483731
"Clade Ib","X4969",-0.271150015443816
"Cm1-21","X4969",-0.213444471703478
"Colwellia","X4969",-0.224460218751157
"Crocinitomix","X4969",-0.260016261326355
"D_7__Chaetoceros","X4969",-0.104991248096966
"Dokdonia","X4969",-0.141986376167342
"Flavicella","X4969",-0.20308190723236
"Fluviicola","X4969",-0.0177982141231142
"Formosa","X4969",0.305470452101807
"Francisella","X4969",-0.135586507727851
"FS140-16B-02 marine group","X4969",-0.255921351746776
"Halioglobus","X4969",-0.227137640156696
"Halomonas","X4969",-0.232046515733885
"Hellea","X4969",0.109526226991072
"hydrothermal vent metagenome","X4969",-0.317641890216472
"Idiomarina","X4969",-0.239098534087458
"IS-44","X4969",0.0328832839489198
"JL-ETNP-F27","X4969",-0.243095379744659
"Lentimonas","X4969",-0.00609395909677995
"Lentisphaera","X4969",-0.280090876192793
"Lewinella","X4969",-0.166598520187661
"LS-NOB","X4969",-0.235668288834203
"Luminiphilus","X4969",-0.00495742194027543
"Magnetospira","X4969",-0.21858247648669
"Marinagarivorans","X4969",-0.163814185164966
"marine metagenome","X4969",-0.367538413047986
